2025-09-12 18:51:48 upgrade gcc-12-base:i386 12.3.0-1ubuntu1~22.04 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:48 status unpacked gcc-12-base:i386 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status half-installed gcc-12-base:i386 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status unpacked gcc-12-base:i386 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:48 upgrade libstdc++6:amd64 12.3.0-1ubuntu1~22.04 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:48 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.10
2025-09-12 18:51:48 status half-configured libstdc++6:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status unpacked libstdc++6:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status half-configured libstdc++6:i386 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status half-installed libstdc++6:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status unpacked libstdc++6:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:48 upgrade libstdc++6:i386 12.3.0-1ubuntu1~22.04 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:48 status unpacked libstdc++6:i386 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status half-installed libstdc++6:i386 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status unpacked libstdc++6:i386 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:48 upgrade libatomic1:amd64 12.3.0-1ubuntu1~22.04 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:48 status half-configured libatomic1:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status unpacked libatomic1:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status half-configured libatomic1:i386 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status half-installed libatomic1:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status unpacked libatomic1:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:48 upgrade libatomic1:i386 12.3.0-1ubuntu1~22.04 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:48 status unpacked libatomic1:i386 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status half-installed libatomic1:i386 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status unpacked libatomic1:i386 12.3.0-1ubuntu1~22.04.2
