2022-02-23 08:47:08 status unpacked libmount1:amd64 2.34-0.1ubuntu9
2022-02-23 08:47:08 install libncurses6:amd64 <none> 6.2-0ubuntu2
2022-02-23 08:47:08 status half-installed libncurses6:amd64 6.2-0ubuntu2
2022-02-23 08:47:08 status unpacked libncurses6:amd64 6.2-0ubuntu2
2022-02-23 08:47:08 install libncursesw6:amd64 <none> 6.2-0ubuntu2
2022-02-23 08:47:08 status half-installed libncursesw6:amd64 6.2-0ubuntu2
2022-02-23 08:47:08 status unpacked libncursesw6:amd64 6.2-0ubuntu2
2022-02-23 08:47:08 install libpam-modules:amd64 <none> 1.3.1-5ubuntu4
2022-02-23 08:47:08 status half-installed libpam-modules:amd64 1.3.1-5ubuntu4
2022-02-23 08:47:08 status unpacked libpam-modules:amd64 1.3.1-5ubuntu4
2022-02-23 08:47:08 install libpam-modules-bin:amd64 <none> 1.3.1-5ubuntu4
2022-02-23 08:47:08 status half-installed libpam-modules-bin:amd64 1.3.1-5ubuntu4
2022-02-23 08:47:08 status unpacked libpam-modules-bin:amd64 1.3.1-5ubuntu4
2022-02-23 08:47:08 install libpam-runtime:all <none> 1.3.1-5ubuntu4
2022-02-23 08:47:08 status half-installed libpam-runtime:all 1.3.1-5ubuntu4
2022-02-23 08:47:08 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2022-02-23 08:47:08 install libpam0g:amd64 <none> 1.3.1-5ubuntu4
2022-02-23 08:47:08 status half-installed libpam0g:amd64 1.3.1-5ubuntu4
2022-02-23 08:47:08 status unpacked libpam0g:amd64 1.3.1-5ubuntu4
2022-02-23 08:47:08 install libpcre2-8-0:amd64 <none> 10.34-7
2022-02-23 08:47:08 status half-installed libpcre2-8-0:amd64 10.34-7
2022-02-23 08:47:08 status unpacked libpcre2-8-0:amd64 10.34-7
2022-02-23 08:47:08 install libpcre3:amd64 <none> 2:8.39-12build1
2022-02-23 08:47:08 status half-installed libpcre3:amd64 2:8.39-12build1
2022-02-23 08:47:08 status unpacked libpcre3:amd64 2:8.39-12build1
2022-02-23 08:47:08 install libprocps8:amd64 <none> 2:3.3.16-1ubuntu2
2022-02-23 08:47:08 status half-installed libprocps8:amd64 2:3.3.16-1ubuntu2
2022-02-23 08:47:08 status unpacked libprocps8:amd64 2:3.3.16-1ubuntu2
2022-02-23 08:47:08 install libselinux1:amd64 <none> 3.0-1build2
2022-02-23 08:47:08 status half-installed libselinux1:amd64 3.0-1build2
2022-02-23 08:47:08 status unpacked libselinux1:amd64 3.0-1build2
2022-02-23 08:47:08 install libsemanage-common:all <none> 3.0-1build2
2022-02-23 08:47:08 status half-installed libsemanage-common:all 3.0-1build2
2022-02-23 08:47:08 status unpacked libsemanage-common:all 3.0-1build2
2022-02-23 08:47:08 install libsemanage1:amd64 <none> 3.0-1build2
2022-02-23 08:47:08 status half-installed libsemanage1:amd64 3.0-1build2
2022-02-23 08:47:08 status unpacked libsemanage1:amd64 3.0-1build2
2022-02-23 08:47:08 install libsepol1:amd64 <none> 3.0-1
2022-02-23 08:47:08 status half-installed libsepol1:amd64 3.0-1
2022-02-23 08:47:08 status unpacked libsepol1:amd64 3.0-1
2022-02-23 08:47:08 install libsmartcols1:amd64 <none> 2.34-0.1ubuntu9
2022-02-23 08:47:08 status half-installed libsmartcols1:amd64 2.34-0.1ubuntu9
2022-02-23 08:47:08 status unpacked libsmartcols1:amd64 2.34-0.1ubuntu9
2022-02-23 08:47:08 install libss2:amd64 <none> 1.45.5-2ubuntu1
2022-02-23 08:47:08 status half-installed libss2:amd64 1.45.5-2ubuntu1
2022-02-23 08:47:08 status unpacked libss2:amd64 1.45.5-2ubuntu1
2022-02-23 08:47:08 install libsystemd0:amd64 <none> 245.4-4ubuntu3
2022-02-23 08:47:08 status half-installed libsystemd0:amd64 245.4-4ubuntu3
2022-02-23 08:47:08 status unpacked libsystemd0:amd64 245.4-4ubuntu3
2022-02-23 08:47:08 install libtinfo6:amd64 <none> 6.2-0ubuntu2
2022-02-23 08:47:08 status half-installed libtinfo6:amd64 6.2-0ubuntu2
2022-02-23 08:47:08 status unpacked libtinfo6:amd64 6.2-0ubuntu2
2022-02-23 08:47:08 install libudev1:amd64 <none> 245.4-4ubuntu3
2022-02-23 08:47:08 status half-installed libudev1:amd64 245.4-4ubuntu3
2022-02-23 08:47:08 status unpacked libudev1:amd64 245.4-4ubuntu3
2022-02-23 08:47:08 install libuuid1:amd64 <none> 2.34-0.1ubuntu9
2022-02-23 08:47:08 status half-installed libuuid1:amd64 2.34-0.1ubuntu9
2022-02-23 08:47:08 status unpacked libuuid1:amd64 2.34-0.1ubuntu9
2022-02-23 08:47:08 install libzstd1:amd64 <none> 1.4.4+dfsg-3
2022-02-23 08:47:08 status half-installed libzstd1:amd64 1.4.4+dfsg-3
2022-02-23 08:47:08 status unpacked libzstd1:amd64 1.4.4+dfsg-3
2022-02-23 08:47:08 install login:amd64 <none> 1:4.8.1-1ubuntu5
2022-02-23 08:47:08 status half-installed login:amd64 1:4.8.1-1ubuntu5
2022-02-23 08:47:08 status unpacked login:amd64 1:4.8.1-1ubuntu5
2022-02-23 08:47:08 install logsave:amd64 <none> 1.45.5-2ubuntu1
2022-02-23 08:47:08 status half-installed logsave:amd64 1.45.5-2ubuntu1
2022-02-23 08:47:08 status unpacked logsave:amd64 1.45.5-2ubuntu1
2022-02-23 08:47:08 install lsb-base:all <none> 11.1.0ubuntu2
2022-02-23 08:47:08 status half-installed lsb-base:all 11.1.0ubuntu2
2022-02-23 08:47:08 status unpacked lsb-base:all 11.1.0ubuntu2
2022-02-23 08:47:08 upgrade mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2022-02-23 08:47:08 status half-configured mawk:amd64 1.3.4.20200120-2
2022-02-23 08:47:08 status unpacked mawk:amd64 1.3.4.20200120-2
2022-02-23 08:47:08 status half-installed mawk:amd64 1.3.4.20200120-2
2022-02-23 08:47:08 status unpacked mawk:amd64 1.3.4.20200120-2
2022-02-23 08:47:08 install mount:amd64 <none> 2.34-0.1ubuntu9
2022-02-23 08:47:08 status half-installed mount:amd64 2.34-0.1ubuntu9
2022-02-23 08:47:08 status unpacked mount:amd64 2.34-0.1ubuntu9
2022-02-23 08:47:08 install ncurses-base:all <none> 6.2-0ubuntu2
2022-02-23 08:47:08 status half-installed ncurses-base:all 6.2-0ubuntu2
2022-02-23 08:47:08 status unpacked ncurses-base:all 6.2-0ubuntu2
2022-02-23 08:47:08 install ncurses-bin:amd64 <none> 6.2-0ubuntu2
2022-02-23 08:47:08 status half-installed ncurses-bin:amd64 6.2-0ubuntu2
2022-02-23 08:47:08 status unpacked ncurses-bin:amd64 6.2-0ubuntu2
2022-02-23 08:47:08 install passwd:amd64 <none> 1:4.8.1-1ubuntu5
2022-02-23 08:47:08 status half-installed passwd:amd64 1:4.8.1-1ubuntu5
2022-02-23 08:47:09 status unpacked passwd:amd64 1:4.8.1-1ubuntu5
2022-02-23 08:47:09 upgrade perl-base:amd64 5.30.0-9build1 5.30.0-9build1
2022-02-23 08:47:09 status half-configured perl-base:amd64 5.30.0-9build1
2022-02-23 08:47:09 status unpacked perl-base:amd64 5.30.0-9build1
2022-02-23 08:47:09 status half-installed perl-base:amd64 5.30.0-9build1
2022-02-23 08:47:09 status unpacked perl-base:amd64 5.30.0-9build1
2022-02-23 08:47:09 install procps:amd64 <none> 2:3.3.16-1ubuntu2
2022-02-23 08:47:09 status half-installed procps:amd64 2:3.3.16-1ubuntu2
2022-02-23 08:47:09 status unpacked procps:amd64 2:3.3.16-1ubuntu2
2022-02-23 08:47:09 install sed:amd64 <none> 4.7-1
2022-02-23 08:47:09 status half-installed sed:amd64 4.7-1
2022-02-23 08:47:09 status unpacked sed:amd64 4.7-1
2022-02-23 08:47:09 install sensible-utils:all <none> 0.0.12+nmu1
2022-02-23 08:47:09 status half-installed sensible-utils:all 0.0.12+nmu1
2022-02-23 08:47:09 status unpacked sensible-utils:all 0.0.12+nmu1
2022-02-23 08:47:09 install sysvinit-utils:amd64 <none> 2.96-2.1ubuntu1
2022-02-23 08:47:09 status half-installed sysvinit-utils:amd64 2.96-2.1ubuntu1
2022-02-23 08:47:09 status unpacked sysvinit-utils:amd64 2.96-2.1ubuntu1
2022-02-23 08:47:09 install tar:amd64 <none> 1.30+dfsg-7
2022-02-23 08:47:09 status half-installed tar:amd64 1.30+dfsg-7
2022-02-23 08:47:09 status unpacked tar:amd64 1.30+dfsg-7
2022-02-23 08:47:09 install util-linux:amd64 <none> 2.34-0.1ubuntu9
2022-02-23 08:47:09 status half-installed util-linux:amd64 2.34-0.1ubuntu9
2022-02-23 08:47:09 status unpacked util-linux:amd64 2.34-0.1ubuntu9
2022-02-23 08:47:09 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2ubuntu1
2022-02-23 08:47:09 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2022-02-23 08:47:09 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2022-02-23 08:47:09 startup packages configure
2022-02-23 08:47:09 configure lsb-base:all 11.1.0ubuntu2 <none>
2022-02-23 08:47:09 status unpacked lsb-base:all 11.1.0ubuntu2
2022-02-23 08:47:09 status half-configured lsb-base:all 11.1.0ubuntu2
