2025-04-15 17:15:02 status half-installed libzstd1:amd64 1.5.6+dfsg-2
2025-04-15 17:15:02 status unpacked libzstd1:amd64 1.5.6+dfsg-2
2025-04-15 17:15:02 install login:amd64 <none> 1:4.16.0-2+really2.40.2-14ubuntu1
2025-04-15 17:15:02 status half-installed login:amd64 1:4.16.0-2+really2.40.2-14ubuntu1
2025-04-15 17:15:02 status unpacked login:amd64 1:4.16.0-2+really2.40.2-14ubuntu1
2025-04-15 17:15:02 install login.defs:all <none> 1:4.16.0-7ubuntu1
2025-04-15 17:15:02 status half-installed login.defs:all 1:4.16.0-7ubuntu1
2025-04-15 17:15:02 status unpacked login.defs:all 1:4.16.0-7ubuntu1
2025-04-15 17:15:02 install logsave:amd64 <none> 1.47.2-1ubuntu1
2025-04-15 17:15:02 status half-installed logsave:amd64 1.47.2-1ubuntu1
2025-04-15 17:15:02 status unpacked logsave:amd64 1.47.2-1ubuntu1
2025-04-15 17:15:02 upgrade mawk:amd64 1.3.4.20250131-1 1.3.4.20250131-1
2025-04-15 17:15:02 status half-configured mawk:amd64 1.3.4.20250131-1
2025-04-15 17:15:02 status unpacked mawk:amd64 1.3.4.20250131-1
2025-04-15 17:15:02 status half-installed mawk:amd64 1.3.4.20250131-1
2025-04-15 17:15:02 status unpacked mawk:amd64 1.3.4.20250131-1
2025-04-15 17:15:02 install mount:amd64 <none> 2.40.2-14ubuntu1
2025-04-15 17:15:02 status half-installed mount:amd64 2.40.2-14ubuntu1
2025-04-15 17:15:02 status unpacked mount:amd64 2.40.2-14ubuntu1
2025-04-15 17:15:02 install ncurses-base:all <none> 6.5+20250216-2
2025-04-15 17:15:02 status half-installed ncurses-base:all 6.5+20250216-2
2025-04-15 17:15:02 status unpacked ncurses-base:all 6.5+20250216-2
2025-04-15 17:15:02 install ncurses-bin:amd64 <none> 6.5+20250216-2
2025-04-15 17:15:02 status half-installed ncurses-bin:amd64 6.5+20250216-2
2025-04-15 17:15:02 status unpacked ncurses-bin:amd64 6.5+20250216-2
2025-04-15 17:15:02 install openssl-provider-legacy:amd64 <none> 3.4.1-1ubuntu3
2025-04-15 17:15:02 status half-installed openssl-provider-legacy:amd64 3.4.1-1ubuntu3
2025-04-15 17:15:02 status unpacked openssl-provider-legacy:amd64 3.4.1-1ubuntu3
2025-04-15 17:15:02 install passwd:amd64 <none> 1:4.16.0-7ubuntu1
2025-04-15 17:15:02 status half-installed passwd:amd64 1:4.16.0-7ubuntu1
2025-04-15 17:15:03 status unpacked passwd:amd64 1:4.16.0-7ubuntu1
2025-04-15 17:15:03 upgrade perl-base:amd64 5.40.1-2 5.40.1-2
2025-04-15 17:15:03 status half-configured perl-base:amd64 5.40.1-2
2025-04-15 17:15:03 status unpacked perl-base:amd64 5.40.1-2
2025-04-15 17:15:03 status half-installed perl-base:amd64 5.40.1-2
2025-04-15 17:15:03 status unpacked perl-base:amd64 5.40.1-2
2025-04-15 17:15:03 install procps:amd64 <none> 2:4.0.4-7ubuntu1
2025-04-15 17:15:03 status half-installed procps:amd64 2:4.0.4-7ubuntu1
2025-04-15 17:15:03 status unpacked procps:amd64 2:4.0.4-7ubuntu1
2025-04-15 17:15:03 install sed:amd64 <none> 4.9-2build1
2025-04-15 17:15:03 status half-installed sed:amd64 4.9-2build1
2025-04-15 17:15:03 status unpacked sed:amd64 4.9-2build1
2025-04-15 17:15:03 install sensible-utils:all <none> 0.0.24
2025-04-15 17:15:03 status half-installed sensible-utils:all 0.0.24
2025-04-15 17:15:03 status unpacked sensible-utils:all 0.0.24
2025-04-15 17:15:03 install sysvinit-utils:amd64 <none> 3.14-1ubuntu1
2025-04-15 17:15:03 status half-installed sysvinit-utils:amd64 3.14-1ubuntu1
2025-04-15 17:15:03 status unpacked sysvinit-utils:amd64 3.14-1ubuntu1
2025-04-15 17:15:03 install tar:amd64 <none> 1.35+dfsg-3.1
2025-04-15 17:15:03 status half-installed tar:amd64 1.35+dfsg-3.1
2025-04-15 17:15:03 status unpacked tar:amd64 1.35+dfsg-3.1
2025-04-15 17:15:03 install util-linux:amd64 <none> 2.40.2-14ubuntu1
2025-04-15 17:15:03 status half-installed util-linux:amd64 2.40.2-14ubuntu1
2025-04-15 17:15:03 status unpacked util-linux:amd64 2.40.2-14ubuntu1
2025-04-15 17:15:03 install zlib1g:amd64 <none> 1:1.3.dfsg+really1.3.1-1ubuntu1
2025-04-15 17:15:03 status half-installed zlib1g:amd64 1:1.3.dfsg+really1.3.1-1ubuntu1
2025-04-15 17:15:03 status unpacked zlib1g:amd64 1:1.3.dfsg+really1.3.1-1ubuntu1
2025-04-15 17:15:03 startup packages configure
2025-04-15 17:15:03 configure gcc-14-base:amd64 14.2.0-19ubuntu2 <none>
2025-04-15 17:15:03 status unpacked gcc-14-base:amd64 14.2.0-19ubuntu2
2025-04-15 17:15:03 status half-configured gcc-14-base:amd64 14.2.0-19ubuntu2
2025-04-15 17:15:03 status installed gcc-14-base:amd64 14.2.0-19ubuntu2
2025-04-15 17:15:03 configure login.defs:all 1:4.16.0-7ubuntu1 <none>
2025-04-15 17:15:03 status unpacked login.defs:all 1:4.16.0-7ubuntu1
2025-04-15 17:15:03 status half-configured login.defs:all 1:4.16.0-7ubuntu1
2025-04-15 17:15:03 status installed login.defs:all 1:4.16.0-7ubuntu1
2025-04-15 17:15:03 configure libaudit-common:all 1:4.0.2-2ubuntu2 <none>
2025-04-15 17:15:03 status unpacked libaudit-common:all 1:4.0.2-2ubuntu2
2025-04-15 17:15:03 status half-configured libaudit-common:all 1:4.0.2-2ubuntu2
2025-04-15 17:15:03 status installed libaudit-common:all 1:4.0.2-2ubuntu2
2025-04-15 17:15:03 configure libsemanage-common:all 3.7-2.1build1 <none>
2025-04-15 17:15:03 status unpacked libsemanage-common:all 3.7-2.1build1
2025-04-15 17:15:03 status half-configured libsemanage-common:all 3.7-2.1build1
2025-04-15 17:15:03 status installed libsemanage-common:all 3.7-2.1build1
2025-04-15 17:15:03 configure debconf:all 1.5.87ubuntu1 <none>
2025-04-15 17:15:03 status unpacked debconf:all 1.5.87ubuntu1
2025-04-15 17:15:03 status half-configured debconf:all 1.5.87ubuntu1
2025-04-15 17:15:03 status installed debconf:all 1.5.87ubuntu1
2025-04-15 17:15:03 configure ncurses-base:all 6.5+20250216-2 <none>
2025-04-15 17:15:03 status unpacked ncurses-base:all 6.5+20250216-2
2025-04-15 17:15:03 status half-configured ncurses-base:all 6.5+20250216-2
2025-04-15 17:15:03 status installed ncurses-base:all 6.5+20250216-2
2025-04-15 17:15:03 configure init-system-helpers:all 1.68 <none>
2025-04-15 17:15:03 status unpacked init-system-helpers:all 1.68
2025-04-15 17:15:03 status half-configured init-system-helpers:all 1.68
2025-04-15 17:15:03 status installed init-system-helpers:all 1.68
2025-04-15 17:15:03 configure sensible-utils:all 0.0.24 <none>
2025-04-15 17:15:03 status unpacked sensible-utils:all 0.0.24
2025-04-15 17:15:03 status half-configured sensible-utils:all 0.0.24
2025-04-15 17:15:03 status installed sensible-utils:all 0.0.24
2025-04-15 17:15:03 configure gcc-15-base:amd64 15-20250404-0ubuntu1 <none>
2025-04-15 17:15:03 status unpacked gcc-15-base:amd64 15-20250404-0ubuntu1
2025-04-15 17:15:03 status half-configured gcc-15-base:amd64 15-20250404-0ubuntu1
2025-04-15 17:15:03 status installed gcc-15-base:amd64 15-20250404-0ubuntu1
2025-04-15 17:15:03 configure libgcc-s1:amd64 15-20250404-0ubuntu1 <none>
2025-04-15 17:15:03 status unpacked libgcc-s1:amd64 15-20250404-0ubuntu1
2025-04-15 17:15:03 status half-configured libgcc-s1:amd64 15-20250404-0ubuntu1
2025-04-15 17:15:03 status installed libgcc-s1:amd64 15-20250404-0ubuntu1
2025-04-15 17:15:03 configure libc6:amd64 2.41-6ubuntu1 <none>
2025-04-15 17:15:03 status unpacked libc6:amd64 2.41-6ubuntu1
2025-04-15 17:15:03 status half-configured libc6:amd64 2.41-6ubuntu1
2025-04-15 17:15:04 status installed libc6:amd64 2.41-6ubuntu1
2025-04-15 17:15:04 configure libdb5.3t64:amd64 5.3.28+dfsg2-9 <none>
2025-04-15 17:15:04 status unpacked libdb5.3t64:amd64 5.3.28+dfsg2-9
2025-04-15 17:15:04 status half-configured libdb5.3t64:amd64 5.3.28+dfsg2-9
2025-04-15 17:15:04 status installed libdb5.3t64:amd64 5.3.28+dfsg2-9
2025-04-15 17:15:04 configure libmd0:amd64 1.1.0-2build2 <none>
