2025/12/17 22:53:22 Starting supervisor with config: config/config.json, workers: 4
2025/12/17 22:53:29 [worker 0] tick=520 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:29 [worker 3] tick=520 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 1] tick=530 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 0] tick=530 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:29 [worker 2] tick=530 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 3] tick=530 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 1] tick=540 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 0] tick=540 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:29 [worker 2] tick=540 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 3] tick=540 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 1] tick=550 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 0] tick=550 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:29 [worker 2] tick=550 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 3] tick=550 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 1] tick=560 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 0] tick=560 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:29 [worker 2] tick=560 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 3] tick=560 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 1] tick=570 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 0] tick=570 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:29 [worker 2] tick=570 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 3] tick=570 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 1] tick=580 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 0] tick=580 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:29 [worker 2] tick=580 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:30 [worker 3] tick=580 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:30 [worker 1] tick=590 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:30 [worker 0] tick=590 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:30 [worker 2] tick=590 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:30 [worker 3] tick=590 mode=heavy work_us=9000 sleep_us=1000 cpu=1
